team-link,6-yard-box,18-yard-box,outside-box
Brazil,13%,48%,39%
England,12%,53%,35%
Poland,10%,52%,39%
Spain,9%,57%,34%
Uruguay,8%,48%,44%
Sweden,7%,58%,35%
Japan,7%,67%,26%
Belgium,6%,58%,36%
Portugal,6%,28%,66%
Serbia,6%,58%,36%
South Korea,6%,32%,62%
Tunisia,6%,47%,47%
Colombia,5%,52%,43%
Croatia,4%,52%,44%
France,4%,48%,48%
Costa Rica,4%,48%,48%
Iran,4%,52%,43%
Egypt,4%,46%,50%
Panama,4%,46%,50%
Australia,3%,61%,36%
Germany,3%,57%,40%
Morocco,3%,68%,29%
Senegal,3%,63%,33%
Nigeria,3%,51%,46%
Denmark,2%,50%,48%
Switzerland,2%,46%,53%
Argentina,2%,58%,40%
Mexico,2%,47%,52%
Russia,0%,72%,28%
Saudi Arabia,0%,49%,51%
Peru,0%,61%,39%
Iceland,0%,70%,30%