team-link,left-side,middle-side,right-side
Spain,47%,24%,30%
Panama,44%,23%,33%
Croatia,43%,23%,34%
Brazil,43%,29%,29%
Portugal,42%,22%,36%
Morocco,42%,21%,37%
Peru,41%,23%,36%
Costa Rica,41%,22%,37%
Switzerland,40%,25%,36%
Iran,40%,28%,32%
Egypt,40%,25%,36%
Japan,39%,22%,38%
Mexico,39%,25%,36%
Argentina,38%,27%,35%
England,38%,23%,39%
Serbia,37%,29%,34%
Russia,36%,22%,43%
France,36%,21%,42%
Poland,36%,23%,41%
Senegal,36%,23%,41%
Tunisia,36%,22%,42%
Australia,35%,20%,45%
Saudi Arabia,35%,23%,42%
Sweden,35%,29%,36%
Belgium,34%,26%,40%
Iceland,34%,31%,35%
Colombia,33%,22%,45%
Germany,32%,25%,43%
Uruguay,32%,27%,40%
Nigeria,32%,26%,43%
South Korea,31%,26%,43%
Denmark,29%,26%,45%