team-link,shotsPG,shotOnTargetPG,dribbleWonPG,foulGivenPG,stat-value
1. Belgium,15.1,5.7,13.3,10.6,7.06
2. Brazil,20.8,8,14.8,14.4,7.06
3. France,11.6,4.1,11,14.7,6.93
4. Croatia,16.1,4.1,12,15.3,6.92
5. Russia,9.6,3.4,7.4,11.2,6.85
6. England,13.4,4.1,10,14.4,6.84
7. Uruguay,12,4.2,7.8,13.8,6.83
8. Sweden,11,4,6.8,12.8,6.80
9. Colombia,9.8,3.3,7.8,13,6.79
10. Spain,18,6.3,14.5,14.8,6.77
11. Denmark,9.8,3.3,8.3,7,6.77
12. South Korea,11.3,3.7,11.7,11,6.76
13. Nigeria,13,3,15.7,14.7,6.75
14. Mexico,15,3.3,14,11.8,6.72
15. Portugal,13.3,3.5,10.8,14.8,6.70
16. Serbia,11,2.7,9,12.7,6.70
17. Peru,10.3,3.7,8,13,6.67
18. Japan,10.5,4,5.3,12.3,6.67
19. Germany,24,7,9,13.7,6.66
20. Switzerland,14.3,3.5,8.5,13,6.64
21. Iran,7.7,1.3,8.3,15,6.64
22. Argentina,13.8,4.5,13.5,19,6.57
23. Senegal,10,4,8.7,10,6.56
24. Tunisia,12,4,9.7,11.7,6.56
25. Poland,10.3,2.7,5,11.3,6.53
26. Morocco,11.3,3.3,12,12.3,6.52
27. Costa Rica,9,3,9,11.7,6.52
28. Iceland,11,3.7,8,8.7,6.51
29. Australia,11,2.3,11,10,6.47
30. Egypt,9.3,1.7,5.7,7.3,6.47
31. Saudi Arabia,12.3,3.3,9.7,15,6.36
32. Panama,8,2.7,7.3,15.7,6.12